City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Ust-Omchug,RU,2021-12-08 20:29:55,61.15,149.6333,-45.47,100,53,1.41,broken clouds
124,Hithadhoo,MV,2021-12-08 20:29:55,-0.6,73.0833,81.68,75,90,10.47,light rain
125,East London,ZA,2021-12-08 20:29:56,-33.0153,27.9116,70.52,93,100,11.83,light rain
126,Zhaozhou,CN,2021-12-08 20:29:56,45.6833,125.3167,23.79,91,99,8.41,overcast clouds
127,Fort Saint James,CA,2021-12-08 20:29:56,54.4333,-124.25,30.42,54,11,11.01,few clouds
128,Marzuq,YE,2021-12-08 20:29:57,14.4,46.4667,59.14,13,0,1.34,clear sky
129,Ribeira Grande,PT,2021-12-08 20:29:57,38.5167,-28.7,61.2,67,75,6.91,broken clouds
130,Tomatlan,MX,2021-12-08 20:29:57,19.9333,-105.25,90.27,29,5,8.14,clear sky
131,Nouadhibou,MR,2021-12-08 20:29:57,20.931,-17.0347,71.58,43,6,18.41,clear sky
132,Farcasa,RO,2021-12-08 20:29:58,47.5833,23.3333,36.43,93,90,2.3,overcast clouds
133,Kenora,CA,2021-12-08 20:29:58,49.8167,-94.4337,10.38,72,90,8.05,overcast clouds
134,Narsaq,GL,2021-12-08 20:29:59,60.9167,-46.05,30.42,86,83,10.33,broken clouds
135,Rawson,AR,2021-12-08 20:26:56,-43.3002,-65.1023,57.27,53,3,18.39,clear sky
136,Mangrol,IN,2021-12-08 20:29:59,21.1167,70.1167,72.25,56,0,12.73,clear sky
137,Nabire,ID,2021-12-08 20:30:59,-3.3667,135.4833,76.75,86,100,3.47,light rain
138,Sitka,US,2021-12-08 20:31:00,57.0531,-135.33,39.09,81,90,10.36,light rain
139,Caceres,ES,2021-12-08 20:31:00,39.522,-6.3748,45.81,74,58,12.03,broken clouds
140,Ravar,IR,2021-12-08 20:31:00,31.2656,56.8055,50.23,31,100,1.74,overcast clouds
141,Sorong,ID,2021-12-08 20:31:00,-0.8833,131.25,80.87,80,100,5.3,overcast clouds
142,San Vicente,AR,2021-12-08 20:31:01,-26.6167,-54.1333,82.53,21,0,5.82,clear sky
143,Vostok,RU,2021-12-08 20:31:01,46.4856,135.8833,11.62,88,31,4.68,scattered clouds
144,Cidreira,BR,2021-12-08 20:31:01,-30.1811,-50.2056,69.39,68,9,12.41,clear sky
